1	1	1	1	1
1	1	1	1	2
1	1	1	1	3
1	1	1	1	4
1	1	1	1	5
1	1	2	1	6
1	1	2	1	7
1	1	2	1	8
1	1	2	1	9
1	1	2	1	10
1	2	1	1	11
1	2	1	1	12
1	2	1	1	13
1	2	1	1	14
1	2	1	1	15
1	2	2	1	16
1	2	2	1	17
1	2	2	1	18
1	2	2	1	19
1	2	2	1	20
2	1	1	1	21
2	1	1	1	22
2	1	1	1	23
2	1	1	1	24
2	1	1	1	25
2	1	2	1	26
2	1	2	1	27
2	1	2	1	28
2	1	2	1	29
2	1	2	1	30
2	2	1	1	31
2	2	1	1	32
2	2	1	1	33
2	2	1	1	34
2	2	1	1	35
2	2	2	1	36
2	2	2	1	37
2	2	2	1	38
2	2	2	1	39
2	2	2	1	40
1	1	1	2	41
1	1	1	2	42
1	1	1	2	43
1	1	1	2	44
1	1	1	2	45
1	1	2	2	46
1	1	2	2	47
1	1	2	2	48
1	1	2	2	49
1	1	2	2	50
1	2	1	2	51
1	2	1	2	52
1	2	1	2	53
1	2	1	2	54
1	2	1	2	55
1	2	2	2	56
1	2	2	2	57
1	2	2	2	58
1	2	2	2	59
1	2	2	2	60
2	1	1	2	61
2	1	1	2	62
2	1	1	2	63
2	1	1	2	64
2	1	1	2	65
2	1	2	2	66
2	1	2	2	67
2	1	2	2	68
2	1	2	2	69
2	1	2	2	70
2	2	1	2	71
2	2	1	2	72
2	2	1	2	73
2	2	1	2	74
2	2	1	2	75
2	2	2	2	76
2	2	2	2	77
2	2	2	2	78
2	2	2	2	79
2	2	2	2	80
